state,art_form,tourist_visits,month,year,region,funding_received,latitude,longitude
Andhra Pradesh,Budithi Brass Craft,100409,1,2020,South,176477,15.9129,79.74
Arunachal Pradesh,Thangka Paintings,13479,1,2020,Northeast,11783,28.218,94.7278
Assam,Assam Silk Weaving,37128,1,2020,Northeast,52852,26.2006,92.9376
Bihar,Sujni Embroidery,49977,1,2020,East,29098,25.0961,85.3131
Chhattisgarh,Bell Metal Craft,24206,1,2020,Central,42793,21.2787,81.8661
Goa,Goan Lacework,54416,1,2020,West,22317,15.2993,74.124
Gujarat,Garba,67009,1,2020,West,113805,22.2587,71.1924
Haryana,Charpai Weaving,21962,1,2020,North,15563,29.0588,76.0856
Himachal Pradesh,Kangra Painting,76025,1,2020,North,118800,31.1048,77.1734
Jharkhand,Dokra Metal Craft,46633,1,2020,East,79923,23.6102,85.2799
Karnataka,Mysore Painting,91694,1,2020,South,197078,15.3173,75.7139
Kerala,Aranmula Kannadi,71278,1,2020,South,119690,10.8505,76.2711
Madhya Pradesh,Chanderi Weaving,86882,1,2020,Central,134847,23.4733,77.947
Maharashtra,Lavani Dance,81918,1,2020,West,50094,19.7515,75.7139
Manipur,Longpi Pottery,13222,1,2020,Northeast,12044,24.6637,93.9063
Meghalaya,Nongkrem Dance,11745,1,2020,Northeast,23551,25.467,91.3662
Mizoram,Cheraw Dance,19432,1,2020,Northeast,35613,23.1645,92.9376
Nagaland,Hornbill Festival Dances,23740,1,2020,Northeast,42593,26.1584,94.5624
Odisha,Applique Work,52121,1,2020,East,39467,20.9517,85.0985
Punjab,Bhangra,39995,1,2020,North,37063,31.1471,75.3412
Rajasthan,Miniature Painting,33230,1,2020,North,49266,27.0238,74.2179
Sikkim,Mask Dance,28060,1,2020,Northeast,19878,27.533,88.5122
Tamil Nadu,Tanjore Painting,80080,1,2020,South,57831,11.1271,78.6569
Telangana,Bidri Craft,74584,1,2020,South,79738,18.1124,79.0193
Tripura,Hojagiri Dance,25743,1,2020,Northeast,18714,23.9408,91.9882
Uttar Pradesh,Kathak Dance,82576,1,2020,North,97151,26.8467,80.9462
Uttarakhand,Aipan Art,28461,1,2020,North,29771,30.0668,79.0193
West Bengal,Durga Puja Art,73767,1,2020,East,77923,22.9868,87.855
Delhi,Meenakari Craft,43562,1,2020,North,93168,28.7041,77.1025
Jammu and Kashmir,Pashmina Weaving,18175,1,2020,North,39764,33.7782,76.5762
Lakshadweep,Shell Craft,48752,1,2020,South,54091,10.5667,72.6417
Andhra Pradesh,Kuchipudi,75342,2,2020,South,105410,15.9129,79.74
Arunachal Pradesh,Wancho Wood Carving,22884,2,2020,Northeast,41165,28.218,94.7278
Assam,Assam Silk Weaving,27851,2,2020,Northeast,23850,26.2006,92.9376
Bihar,Madhubani Painting,28794,2,2020,East,18334,25.0961,85.3131
Chhattisgarh,Godna Art,19283,2,2020,Central,41695,21.2787,81.8661
Goa,Goan Lacework,38131,2,2020,West,55483,15.2993,74.124
Gujarat,Patola Weaving,108569,2,2020,West,112677,22.2587,71.1924
Haryana,Charpai Weaving,24102,2,2020,North,26757,29.0588,76.0856
Himachal Pradesh,Kullu Shawl Weaving,27649,2,2020,North,33853,31.1048,77.1734
Jharkhand,Chhau Dance,14961,2,2020,East,8142,23.6102,85.2799
