state,art_form,tourist_visits,month,year,region,funding_received,latitude,longitude
Andhra Pradesh,Budithi Brass Craft,83058,1,2020,South,78306,15.9129,79.74
Arunachal Pradesh,Wancho Wood Carving,27564,1,2020,Northeast,60917,28.218,94.7278
Assam,Bihu Dance,20092,1,2020,Northeast,21428,26.2006,92.9376
Bihar,Manjusha Art,43782,1,2020,East,50137,25.0961,85.3131
Chhattisgarh,Panthi Dance,39698,1,2020,Central,33100,21.2787,81.8661
Goa,Dekni Dance,63296,1,2020,West,94722,15.2993,74.124
Gujarat,Patola Weaving,47596,1,2020,West,90680,22.2587,71.1924
Haryana,Embroidery Craft,30623,1,2020,North,25187,29.0588,76.0856
Himachal Pradesh,Kangra Painting,31511,1,2020,North,51733,31.1048,77.1734
Jharkhand,Sohrai Painting,78049,1,2020,East,119141,23.6102,85.2799
Karnataka,Bidri Ware,71341,1,2020,South,155263,15.3173,75.7139
Kerala,Mohiniyattam,98120,1,2020,South,250913,10.8505,76.2711
Madhya Pradesh,Bagh Print,42844,1,2020,Central,68634,23.4733,77.947
Maharashtra,Paithani Sarees,75217,1,2020,West,129439,19.7515,75.7139
Manipur,Longpi Pottery,14525,1,2020,Northeast,16887,24.6637,93.9063
Meghalaya,Garo Wangala Dance,14452,1,2020,Northeast,5620,25.467,91.3662
Mizoram,Mizo Bamboo Dance,19739,1,2020,Northeast,19964,23.1645,92.9376
Nagaland,Hornbill Festival Dances,23281,1,2020,Northeast,33051,26.1584,94.5624
Odisha,Odissi Dance,77857,1,2020,East,103513,20.9517,85.0985
Punjab,Bhangra,25984,1,2020,North,34703,31.1471,75.3412
Rajasthan,Ghoomar Dance,103666,1,2020,North,90144,27.0238,74.2179
Sikkim,Thangka Painting,13438,1,2020,Northeast,24112,27.533,88.5122
Tamil Nadu,Bharatanatyam,79935,1,2020,South,158752,11.1271,78.6569
Telangana,Perini Shivatandavam,45808,1,2020,South,42213,18.1124,79.0193
Tripura,Hojagiri Dance,14996,1,2020,Northeast,24289,23.9408,91.9882
Uttar Pradesh,Chikankari,64189,1,2020,North,72660,26.8467,80.9462
Uttarakhand,Ringal Craft,28825,1,2020,North,33503,30.0668,79.0193
West Bengal,Kantha Stitch,100576,1,2020,East,75620,22.9868,87.855
Delhi,Kathak Dance,46234,1,2020,North,75368,28.7041,77.1025
Jammu and Kashmir,Pashmina Weaving,33889,1,2020,North,40635,33.7782,76.5762
Andhra Pradesh,Kuchipudi,98928,2,2020,South,101510,15.9129,79.74
Arunachal Pradesh,Wancho Wood Carving,21795,2,2020,Northeast,16298,28.218,94.7278
Assam,Bihu Dance,22507,2,2020,Northeast,25122,26.2006,92.9376
Bihar,Madhubani Painting,61786,2,2020,East,135882,25.0961,85.3131
Chhattisgarh,Panthi Dance,31882,2,2020,Central,47472,21.2787,81.8661
Goa,Dekni Dance,43848,2,2020,West,31352,15.2993,74.124
Gujarat,Rogan Art,37698,2,2020,West,50701,22.2587,71.1924
Haryana,Phag Dance,29057,2,2020,North,54766,29.0588,76.0856
Himachal Pradesh,Chamba Rumal,45822,2,2020,North,20075,31.1048,77.1734
Jharkhand,Dokra Metal Craft,30955,2,2020,East,46592,23.6102,85.2799
Karnataka,Yakshagana,58700,2,2020,South,102121,15.3173,75.7139
Kerala,Kathakali,87466,2,2020,South,102833,10.8505,76.2711
Madhya Pradesh,Bagh Print,56562,2,2020,Central,41171,23.4733,77.947
Maharashtra,Lavani Dance,69913,2,2020,West,53975,19.7515,75.7139
Manipur,Longpi Pottery,32804,2,2020,Northeast,28044,24.6637,93.9063
Meghalaya,Garo Wangala Dance,24791,2,2020,Northeast,26152,25.467,91.3662
Mizoram,Cheraw Dance,33873,2,2020,Northeast,28037,23.1645,92.9376
Nagaland,Hornbill Festival Dances,19954,2,2020,Northeast,12505,26.1584,94.5624
Odisha,Odissi Dance,33004,2,2020,East,45898,20.9517,85.0985
Punjab,Bhangra,43562,2,2020,North,31058,31.1471,75.3412
Rajasthan,Blue Pottery,84663,2,2020,North,32619,27.0238,74.2179
Sikkim,Carpet Weaving,42842,2,2020,Northeast,21326,27.533,88.5122
Tamil Nadu,Bharatanatyam,75808,2,2020,South,35724,11.1271,78.6569
Telangana,Bidri Craft,78069,2,2020,South,146909,18.1124,79.0193
Tripura,Hojagiri Dance,22572,2,2020,Northeast,17076,23.9408,91.9882
Uttar Pradesh,Lucknow Zardozi,46880,2,2020,North,25041,26.8467,80.9462
Uttarakhand,Choliya Dance,43957,2,2020,North,35683,30.0668,79.0193
West Bengal,Patachitra,43871,2,2020,East,82015,22.9868,87.855
Delhi,Kathak Dance,42148,2,2020,North,32965,28.7041,77.1025
Jammu and Kashmir,Pashmina Weaving,50788,2,2020,North,55373,33.7782,76.5762
Andhra Pradesh,Budithi Brass Craft,45175,3,2020,South,46950,15.9129,79.74
Arunachal Pradesh,Monpa Mask,22073,3,2020,Northeast,43934,28.218,94.7278
Assam,Assam Silk Weaving,25967,3,2020,Northeast,29837,26.2006,92.9376
Bihar,Manjusha Art,12609,3,2020,East,24147,25.0961,85.3131
Chhattisgarh,Panthi Dance,25128,3,2020,Central,16482,21.2787,81.8661
Goa,Goan Lacework,50118,3,2020,West,51268,15.2993,74.124
Gujarat,Patola Weaving,76544,3,2020,West,109751,22.2587,71.1924
Haryana,Embroidery Craft,37336,3,2020,North,44640,29.0588,76.0856
Himachal Pradesh,Kangra Painting,44480,3,2020,North,31043,31.1048,77.1734
Jharkhand,Chhau Dance,19428,3,2020,East,30765,23.6102,85.2799
Karnataka,Yakshagana,47288,3,2020,South,108540,15.3173,75.7139
Kerala,Aranmula Kannadi,38145,3,2020,South,65212,10.8505,76.2711
Madhya Pradesh,Chanderi Weaving,41142,3,2020,Central,16440,23.4733,77.947
Maharashtra,Lavani Dance,45698,3,2020,West,56421,19.7515,75.7139
Manipur,Longpi Pottery,23595,3,2020,Northeast,39258,24.6637,93.9063
Meghalaya,Garo Wangala Dance,19097,3,2020,Northeast,18933,25.467,91.3662
Mizoram,Mizo Bamboo Dance,16374,3,2020,Northeast,20836,23.1645,92.9376
Nagaland,Naga Shawl Weaving,51163,3,2020,Northeast,54028,26.1584,94.5624
Odisha,Pattachitra,24948,3,2020,East,22568,20.9517,85.0985
Punjab,Bhangra,23877,3,2020,North,24151,31.1471,75.3412
